"stop_id","stop_name","stop_lat","stop_lon"
"bandung_sanggar_hurip","Sanggar Hurip",-6.937091,107.667014
"bandung_parakan_saat","Parakan Saat",-6.932636,107.668198
"bandung_suzuki_indo_sarana_bandung","Suzuki Indo Sarana Bandung",-6.938007,107.676864
"bandung_halte_guru_minda","Halte Guru Minda",-6.9380031,107.6776076
"bandung_kpp_cicadas","Kpp Cicadas",-6.937526,107.679044
"bandung_pool_damri_gedebage","Pool Damri Gedebage",-6.943618,107.681578
"bandung_bulog_gedebage","Bulog Gedebage",-6.943618,107.681578
"bandung_magna_raya","Magna Raya",-6.9540265,107.6887946
"bandung_taman_sumringah","Taman Sumringah",-6.9546172,107.6936525
"bandung_halte_bumi_panyileukan","Halte Bumi Panyileukan",-6.946652,107.7128557
"bandung_pasar_induk_gedebage","Pasar Induk Gedebage",-6.936343,107.6973013
"bandung_metro_b","Metro B",-6.9403106,107.6583047
"bandung_bunderan_cibiru","Bunderan Cibiru",-6.935136,107.717463
"bandung_halte_cimincrang","Halte Cimincrang",-6.946545,107.702928
"bandung_halte_shakti","Halte Shakti",-6.9368072,107.697039
"bandung_arya_graha","Arya Graha",-6.9385828,107.6729709
"bandung_smkn_7_bandung","Smkn 7 Bandung",-6.940639,107.659982
"bandung_mekarwangi","Mekarwangi",-6.952966,107.602296
"bandung_jalan_jend_sudirman_773","Jalan Jend. Sudirman, 773",-6.914828,107.57154
"bandung_naga_mas","Naga Mas",-6.9475841,107.6347185
"bandung_pabrik_badjoe","Pabrik Badjoe",-6.94632,107.63849
"bandung_halte_stikes_bandung","Halte Stikes Bandung",-6.9356,107.70998
"bandung_pangkalan_damri_cibiru","Pangkalan Damri Cibiru",-6.923029,107.71997
"bandung_padasuka","Padasuka",-6.9035702,107.6485875
"bandung_terminal_cicaheum","Terminal Cicaheum",-6.9022292,107.6568052
"bandung_simpang_cicaheum","Simpang Cicaheum",-6.9022292,107.6568052
"bandung_seberang_terminal_cicaheum","Seberang Terminal Cicaheum",-6.9020762,107.6567951
"bandung_cimuncang","Cimuncang",-6.9016968,107.6500247
"bandung_gateway_cicadas","Gateway Cicadas",-6.9073207,107.6459755
"bandung_btm","Btm",-6.9112712,107.6434706
"bandung_halte_tmb_ibrahim_adjie","Halte Tmb Ibrahim Adjie",-6.9429006,107.6421592
"bandung_awi_bitung","Awi Bitung",-6.9105947,107.6395652
"bandung_gor_koni","Gor Koni",-6.914741,107.6362581
"bandung_sekolah_agustinus","Sekolah Agustinus",-6.9139814,107.6331886
"bandung_plaza_ibcc","Plaza Ibcc",-6.9143539,107.6328349
"bandung_lapangan_persib","Lapangan Persib",-6.916119,107.6301434
"bandung_seberang_persib","Seberang Persib",-6.916119,107.6301434
"bandung_jaya_plaza","Jaya Plaza",-6.9173661,107.6268117
"bandung_segitiga_mas","Segitiga Mas",-6.9178881,107.6258492
"bandung_cikudapateuh","Cikudapateuh",-6.9186418,107.6245097
"bandung_kantor_pos_kosambi","Kantor Pos Kosambi",-6.9192619,107.6235428
"bandung_seberang_pasar_kosambi","Seberang Pasar Kosambi",-6.9199617,107.6220644
"bandung_pasar_kosambi","Pasar Kosambi",-6.9199617,107.6220644
"bandung_rsu_bungsu","Rsu Bungsu",-6.918174,107.6132861
"bandung_jembatan_pelangi_kiara_artha","Jembatan Pelangi (Kiara Artha)",-6.91605,107.5999651
"bandung_muj","Muj",-6.9162362,107.5987167
"bandung_katapang_kaler","Katapang Kaler",-6.9162875,107.5966128
"bandung_sudirman_sukamanah","Sudirman Sukamanah",-6.9196251,107.5937395
"bandung_pasar_ciroyom","Pasar Ciroyom",-6.9141236,107.5885486
"bandung_simpang_jamika","Simpang Jamika",-6.9188722,107.5874464
"bandung_panin_bank","Panin Bank",-6.914816,107.582906
"bandung_jl_a_yani","Jl A Yani",-6.9206062,107.580869
"bandung_kasim","Kasim",-6.9108914,107.5701692
"bandung_badan_keuangan_negara","Badan Keuangan Negara",-6.9115427,107.5695853
"bandung_sulaksana","Sulaksana",-6.9050592,107.6501219
"bandung_simpang_sudirman_otista","Simpang Sudirman Otista",-6.920902,107.60382
"bandung_kasmin","Kasmin",-6.9203193,107.5999144
"bandung_sudirman_pasar_andir","Sudirman Pasar Andir",-6.917825,107.590384
